作品名,タグ,制作時期,"日付(並び替え用,YYYY-MM)",動画URL,メイキングページ,サムネ画像
2025年度農工祭 rough公演,実写映像、ライブ撮影、マルチカメラ,2025年11月〜2026年1月,2026-01-17,https://youtu.be/0iCX3daaViw,making-rough.html,https://img.youtube.com/vi/0iCX3daaViw/maxresdefault.jpg
ドレミファダンスコンサート2025 ハイライト,実写映像、ハイライト、ボランティア,2025年5〜7月,2025-07-25,https://youtu.be/mXolgUeuSOo,making-doremifa.html,https://img.youtube.com/vi/mXolgUeuSOo/maxresdefault.jpg
1日1モデリング 30日チャレンジ,CG、モデリング,2021年7月〜8月,2021-08-17,,making-challenge.html,challenge-thumb.jpg
RX-7 VEILSIDE仕様 3DCGモデル,CG、車、モデリング,2021年8月,2021-08-17,https://youtu.be/2Xtg3e1T2Xs,making-rx7.html,rx7-render.jpg
小竹竜ノ介21歳誕生日予告,実写映像、30秒CM、誕生日予告,2025年5月,2025-05-30,https://youtu.be/ruV5QP93_dk,making-birthday21.html,https://img.youtube.com/vi/ruV5QP93_dk/maxresdefault.jpg
小竹竜ノ介20歳誕生日予告,実写映像、映画予告、誕生日予告,2024年5月,2024-05-30,https://youtu.be/Nx8aw06uRGk,making-birthday20.html,https://img.youtube.com/vi/Nx8aw06uRGk/maxresdefault.jpg
小竹竜ノ介19歳誕生日予告,実写映像、映画予告、誕生日予告,2023年5月,2023-05-24,https://youtu.be/PqgRY7M-S2M,making-birthday19.html,https://img.youtube.com/vi/PqgRY7M-S2M/maxresdefault.jpg
小竹竜ノ介18歳誕生日予告「ザファイナル」,実写映像、映画予告、誕生日予告,2022年6月,2022-06-01,https://youtu.be/zW8uieu_9KI,making-birthday18.html,https://img.youtube.com/vi/zW8uieu_9KI/maxresdefault.jpg
小竹竜ノ介17歳誕生日予告,実写映像、映画予告、誕生日予告,2021年5月,2021-05-30,https://youtu.be/9-eVi-qQLWU,making-birthday17.html,https://img.youtube.com/vi/9-eVi-qQLWU/maxresdefault.jpg
入学式2019 OP,ライブ配信、MC、イベント、IBS,2019年4月,2019-04-06,https://youtu.be/Gv1qoxDBubU,making-nyugaku2019.html,https://img.youtube.com/vi/Gv1qoxDBubU/maxresdefault.jpg
校内イベントの撮影・配信・運営,ライブ配信、イベント、IBS,2017〜2022,2022-03-01,,making-ibsevent.html,s2.jpg
小竹竜ノ介22歳記念PV 「大人序章中」,実写映像、60秒PV、シネマティック、誕生日予告,2026年3月末〜5月,2026-05-31,https://youtu.be/-laqI9Dw0Vg,making-birthday2026.html,eizo-flagship.jpg
IDF（郁文ドリームフェスティバル）,実写映像、文化祭、企画・演出,2021年10月,2021-10-04,https://youtu.be/iLv0dK8ZmzU,making-idf.html,https://img.youtube.com/vi/iLv0dK8ZmzU/maxresdefault.jpg
GRIT3部作 — フィジーク学生大会ドキュメンタリー,実写映像、ドキュメンタリー,2024年7月〜11月（3部作）,2024-07-14,https://youtu.be/ehFCFjIPhZY,making-grit.html,https://img.youtube.com/vi/ehFCFjIPhZY/maxresdefault.jpg
スニーカー 3DCGモデル,CG、服飾、モデリング,2023年12月,2023-12-23,,making-sneaker.html,sneaker-thumb.jpg
初めてのモデリング,CG、キャラクター、モデリング,2019年10月,2019-10-22,,making-first3d.html,first3d-thumb.jpg
小竹竜ノ介15歳誕生日予告,実写映像、誕生日予告,2019年5月,2019-05-30,https://youtu.be/gK91lsdb1eA,making-birthday15.html,https://img.youtube.com/vi/gK91lsdb1eA/maxresdefault.jpg
IBS VIDEO #102「密着！野球部と学生寮！」,実写映像、密着取材、IBS,2020年11月,2020-11-24,https://youtu.be/b5ba9a8X5Co,making-ibs102.html,https://img.youtube.com/vi/b5ba9a8X5Co/maxresdefault.jpg
IBS新入生歓迎CM 2021,実写映像、CM、IBS,2021年4月,2021-04-11,https://youtu.be/iAjpdrE0gOc,making-ibscm.html,https://img.youtube.com/vi/iAjpdrE0gOc/maxresdefault.jpg
IBS新入生歓迎CM 2022「ODOSUBU」,実写映像、寸劇、IBS,2022年4月,2022-04-11,https://youtu.be/J02gmWmfsok,making-ibscm2022.html,https://img.youtube.com/vi/J02gmWmfsok/maxresdefault.jpg
夢の日2020 OP,実写映像、再現してみた,2020年2月,2020-02-15,https://youtu.be/YvSpcUJSh3o,making-yumenohi2020.html,https://img.youtube.com/vi/YvSpcUJSh3o/maxresdefault.jpg
IBS VIDEO #99.5「紹介！新応援団長！」,実写映像、人物紹介、IBS,2019年5月,2019-05-18,https://youtu.be/3SKstS_Puco,making-ibs995.html,https://img.youtube.com/vi/3SKstS_Puco/maxresdefault.jpg
IBS VIDEO #99.6「勝手にグラチャン」,実写映像、検証、IBS,2019年9月,2019-09-17,https://youtu.be/0-VZyN4P7eg,making-ibs996.html,https://img.youtube.com/vi/0-VZyN4P7eg/maxresdefault.jpg
IBS VIDEO #98「夢キュンの行方」,実写映像、ニュース、IBS,2018年11月,2018-11-26,https://youtu.be/f8WL1ncrQ3w,making-ibs98.html,https://img.youtube.com/vi/f8WL1ncrQ3w/maxresdefault.jpg
（例）3DCGショートフィルム,CG、Blender、シネマティック,2025年 秋,2025-10,,,
（例）音楽イベント ライブ配信,ライブ配信、マルチカメラ,2025年 夏,2025-08,,,
（例）プロモーション映像,実写映像、30秒、広告,2025年 春,2025-04,,,
（例）ミュージックビデオ,実写映像、MV,2024年,2024-09,,,
